timestamp_utc,ws_40m,ws_60m,wd_58m,temp_2m,rh_2m
2019-01-03T09:00,10.80,12.33,350,-2.7,87
2019-01-03T10:00,11.78,12.81,350,-1.5,84
2019-01-03T11:00,10.26,11.28,352,-1.5,83
2019-01-03T12:00,12.62,14.12,340,-1.0,92
2019-01-03T13:00,13.42,14.83,299,-1.7,87
2019-01-03T14:00,11.83,13.11,266,-1.5,77
2019-01-03T15:00,13.89,15.28,241,-2.3,80
2019-01-03T16:00,13.89,15.03,244,-2.2,87
2019-01-03T17:00,13.11,14.25,242,-3.5,86
2019-01-03T18:00,11.20,12.16,242,-3.6,91
2019-01-03T19:00,10.53,11.13,243,-4.1,80
2019-01-03T20:00,9.01,9.84,233,-4.2,73
2019-01-03T21:00,7.45,7.89,234,-4.4,79
2019-01-03T22:00,6.47,6.93,228,-4.0,80
2019-01-03T23:00,5.47,6.05,217,-5.2,77
2019-01-04T00:00,5.30,5.88,233,-5.7,80
2019-01-04T01:00,7.52,8.24,236,-6.7,74
2019-01-04T02:00,9.70,10.83,236,-6.7,71
2019-01-04T03:00,10.96,11.74,238,-6.3,68
2019-01-04T04:00,9.19,10.06,235,-6.6,66
2019-01-04T05:00,9.49,10.19,234,-6.1,70
2019-01-04T06:00,11.27,12.26,242,-5.8,74
2019-01-04T07:00,12.34,13.48,241,-4.1,72
2019-01-04T08:00,10.71,11.62,252,-4.9,62
2019-01-04T09:00,11.49,12.73,244,-3.9,61
2019-01-04T10:00,10.60,11.77,239,-2.9,70
2019-01-04T11:00,10.39,11.70,238,-2.6,75
2019-01-04T12:00,9.78,11.06,251,-1.6,77
2019-01-04T13:00,9.53,10.90,236,-2.0,81
2019-01-04T14:00,9.30,10.25,232,-2.0,86
2019-01-04T15:00,7.99,8.57,230,-2.4,82
2019-01-04T16:00,8.47,9.41,223,-2.0,87
2019-01-04T17:00,8.91,9.53,229,-4.1,92
2019-01-04T18:00,10.09,10.93,233,-4.5,78
2019-01-04T19:00,10.50,11.19,220,-5.6,76
2019-01-04T20:00,9.12,9.43,98,-6.6,89
2019-01-04T21:00,7.33,7.34,50,-7.8,84
2019-01-04T22:00,5.57,5.75,55,-9.4,86
2019-01-04T23:00,5.65,5.75,209,-10.7,81
2019-01-05T00:00,5.75,5.82,195,-10.7,89
2019-01-05T01:00,6.15,6.37,212,-12.3,94
2019-01-05T02:00,2.73,2.80,100,-12.7,100
2019-01-05T03:00,2.08,2.16,62,-11.2,100
2019-01-05T04:00,1.77,1.89,33,-11.8,100
2019-01-05T05:00,2.06,2.24,37,-11.9,100
2019-01-05T06:00,1.94,2.05,48,-11.1,99
2019-01-05T07:00,3.11,3.29,44,-11.0,97
2019-01-05T08:00,3.33,3.67,74,-10.9,100
2019-01-05T09:00,4.12,4.33,85,-10.0,100
2019-01-05T10:00,3.88,4.21,91,-9.8,100
2019-01-05T11:00,4.18,4.63,174,-8.8,95
2019-01-05T12:00,4.67,5.34,199,-7.8,94
2019-01-05T13:00,4.49,4.80,224,-7.9,87
2019-01-05T14:00,5.42,5.75,215,-7.8,90
2019-01-05T15:00,4.47,4.87,56,-7.8,98
2019-01-05T16:00,4.62,4.86,60,-7.9,95
2019-01-05T17:00,5.63,6.06,49,-8.0,100
2019-01-05T18:00,4.52,4.89,56,-7.9,93
2019-01-05T19:00,5.54,5.97,175,-8.9,88
2019-01-05T20:00,3.36,3.67,63,-9.4,86
2019-01-05T21:00,4.47,4.77,147,-9.5,88
2019-01-05T22:00,5.60,6.13,213,-11.6,90
2019-01-05T23:00,6.24,6.69,217,-12.4,96
2019-01-06T00:00,6.64,7.25,227,-11.6,93
2019-01-06T01:00,7.88,8.10,223,-11.6,94
2019-01-06T02:00,8.15,8.55,216,-11.7,90
2019-01-06T03:00,8.63,9.26,227,-12.2,96
2019-01-06T04:00,9.93,10.64,230,-12.4,83
2019-01-06T05:00,7.53,8.39,247,-11.6,82
2019-01-06T06:00,7.49,8.13,246,-10.5,83
2019-01-06T07:00,8.58,9.24,256,-9.6,85
2019-01-06T08:00,7.80,8.76,250,-8.2,80
2019-01-06T09:00,8.42,9.09,245,-7.2,79
2019-01-06T10:00,8.33,9.18,227,-7.0,71
2019-01-06T11:00,8.03,8.75,216,-4.9,71
2019-01-06T12:00,8.12,8.88,221,-4.3,83
2019-01-06T13:00,7.46,8.30,205,-4.2,74
2019-01-06T14:00,7.07,7.43,168,-4.4,66
2019-01-06T15:00,7.35,7.59,223,-4.1,62
2019-01-06T16:00,7.73,8.25,230,-4.1,66
2019-01-06T17:00,9.56,10.53,242,-3.8,63
2019-01-06T18:00,9.30,9.91,241,-4.5,73
2019-01-06T19:00,9.68,10.51,218,-6.7,76
2019-01-06T20:00,10.27,11.69,228,-7.1,80
2019-01-06T21:00,10.78,11.78,219,-6.5,79
2019-01-06T22:00,8.96,9.76,213,-8.4,78
2019-01-06T23:00,8.35,9.39,220,-8.7,72
2019-01-07T00:00,7.27,8.19,202,-9.2,81
2019-01-07T01:00,7.06,7.58,227,-9.8,79
2019-01-07T02:00,6.14,6.89,236,-9.2,78
2019-01-07T03:00,5.66,6.50,243,-8.1,77
2019-01-07T04:00,4.86,5.27,237,-8.8,80
2019-01-07T05:00,3.22,3.51,238,-8.0,78
2019-01-07T06:00,3.05,3.47,236,-7.9,82
2019-01-07T07:00,3.28,3.64,232,-5.9,81
2019-01-07T08:00,3.91,4.18,227,-6.4,74
2019-01-07T09:00,3.62,3.82,221,-5.9,81
2019-01-07T10:00,3.36,3.64,227,-5.2,78
2019-01-07T11:00,2.22,2.40,216,-5.4,82
2019-01-07T12:00,1.48,1.39,204,-5.0,87
2019-01-07T13:00,0.43,0.59,49,-2.4,90
2019-01-07T14:00,0.92,0.90,61,-2.5,86
2019-01-07T15:00,2.37,2.58,129,-2.8,84
2019-01-07T16:00,3.48,3.73,201,-2.1,90
2019-01-07T17:00,4.22,4.38,233,-2.4,90
2019-01-07T18:00,3.80,4.20,237,-3.8,90
2019-01-07T19:00,3.28,3.56,233,-5.0,91
2019-01-07T20:00,3.24,3.49,252,-5.4,87
2019-01-07T21:00,4.77,5.09,240,-7.5,86
2019-01-07T22:00,5.34,5.78,248,-8.4,81
2019-01-07T23:00,5.93,6.21,255,-9.5,82
2019-01-08T00:00,4.64,4.88,246,-9.6,84
2019-01-08T01:00,5.86,6.08,252,-10.7,79
2019-01-08T02:00,6.61,7.33,257,-10.2,84
2019-01-08T03:00,7.46,8.19,263,-10.5,88
2019-01-08T04:00,7.63,8.44,255,-9.7,90
2019-01-08T05:00,7.74,8.79,268,-9.3,88
2019-01-08T06:00,8.51,9.62,247,-9.3,96
2019-01-08T07:00,8.60,9.85,234,-8.7,86
2019-01-08T08:00,7.97,9.20,251,-9.1,85
2019-01-08T09:00,6.48,7.58,248,-7.5,93
2019-01-08T10:00,7.37,8.27,247,-8.2,95
2019-01-08T11:00,7.04,8.10,267,-8.1,83
2019-01-08T12:00,6.17,6.92,279,-5.8,83
2019-01-08T13:00,5.56,6.07,297,-5.4,87
2019-01-08T14:00,4.98,5.54,325,-4.7,96
2019-01-08T15:00,5.17,5.69,299,-4.2,91
2019-01-08T16:00,3.55,3.85,314,-4.0,87
2019-01-08T17:00,3.96,4.45,338,-3.9,92
2019-01-08T18:00,4.79,5.19,346,-4.9,82
2019-01-08T19:00,4.88,5.37,338,-4.3,87
2019-01-08T20:00,6.59,7.26,245,-5.5,88
2019-01-08T21:00,5.41,5.94,245,-6.2,90
2019-01-08T22:00,5.08,5.59,256,-6.4,83
2019-01-08T23:00,7.25,8.07,254,-8.5,84
2019-01-09T00:00,8.44,8.92,259,-9.0,82
2019-01-09T01:00,6.85,7.27,260,-9.1,78
2019-01-09T02:00,7.96,8.75,252,-8.5,70
2019-01-09T03:00,8.27,9.11,244,-8.5,75
2019-01-09T04:00,8.12,8.73,230,-7.7,72
2019-01-09T05:00,7.15,7.95,241,-6.0,71
2019-01-09T06:00,7.56,8.40,235,-5.1,75
2019-01-09T07:00,6.62,7.53,236,-6.0,71
2019-01-09T08:00,5.82,6.73,229,-5.7,68
2019-01-09T09:00,6.94,7.82,243,-4.9,66
2019-01-09T10:00,8.04,8.95,244,-4.6,67
2019-01-09T11:00,7.52,8.44,240,-5.7,69
2019-01-09T12:00,8.39,9.11,243,-4.7,68
2019-01-09T13:00,6.77,7.56,244,-5.0,76
2019-01-09T14:00,6.23,7.21,246,-4.7,72
2019-01-09T15:00,5.92,6.36,249,-3.9,72
2019-01-09T16:00,5.42,6.02,246,-4.1,74
2019-01-09T17:00,6.65,7.72,249,-4.2,69
2019-01-09T18:00,6.11,6.79,246,-4.4,68
2019-01-09T19:00,7.71,8.55,250,-5.3,75
2019-01-09T20:00,7.15,7.67,252,-5.0,79
2019-01-09T21:00,8.16,8.34,244,-5.7,72
2019-01-09T22:00,7.44,8.16,249,-6.4,73
2019-01-09T23:00,6.98,7.48,235,-6.6,82
2019-01-10T00:00,8.61,9.23,240,-8.9,77
2019-01-10T01:00,8.72,9.69,232,-9.1,81
2019-01-10T02:00,6.51,6.95,226,-8.1,75
2019-01-10T03:00,4.96,5.30,202,-8.3,77
2019-01-10T04:00,3.63,3.85,70,-7.9,78
2019-01-10T05:00,4.30,4.62,54,-7.8,87
2019-01-10T06:00,3.52,3.86,47,-8.3,85
2019-01-10T07:00,2.76,2.99,48,-9.3,85
2019-01-10T08:00,1.56,1.69,53,-8.0,83
2019-01-10T09:00,2.33,2.60,45,-6.9,83
2019-01-10T10:00,2.61,2.77,37,-6.1,88
2019-01-10T11:00,2.21,2.38,36,-4.4,79
2019-01-10T12:00,2.46,2.69,26,-3.9,84
2019-01-10T13:00,1.62,1.81,25,-3.9,82
2019-01-10T14:00,1.76,1.85,23,-4.4,79
2019-01-10T15:00,2.51,2.70,41,-4.3,82
2019-01-10T16:00,1.68,1.78,68,-3.6,74
2019-01-10T17:00,3.54,3.74,200,-4.5,82
2019-01-10T18:00,2.33,2.42,224,-5.0,80
2019-01-10T19:00,2.26,2.31,217,-5.5,76
2019-01-10T20:00,1.51,1.70,223,-6.1,79
2019-01-10T21:00,1.78,1.89,233,-6.7,85
2019-01-10T22:00,2.20,2.37,235,-7.4,81
2019-01-10T23:00,3.08,3.31,249,-6.4,83
2019-01-11T00:00,3.14,3.28,280,-6.7,84
2019-01-11T01:00,1.88,2.07,312,-6.8,83
2019-01-11T02:00,1.14,1.22,323,-7.3,89
2019-01-11T03:00,2.32,2.48,283,-6.0,90
2019-01-11T04:00,4.12,4.50,257,-5.7,93
2019-01-11T05:00,3.15,3.44,267,-7.1,90
2019-01-11T06:00,4.99,5.53,261,-6.3,88
2019-01-11T07:00,4.99,5.45,249,-5.4,84
2019-01-11T08:00,4.96,5.40,244,-4.6,74
2019-01-11T09:00,6.09,6.52,251,-3.3,79
2019-01-11T10:00,7.14,7.64,251,-2.5,77
2019-01-11T11:00,6.81,7.40,249,-1.4,77
2019-01-11T12:00,6.53,7.11,245,-1.7,74
2019-01-11T13:00,9.32,9.95,244,-1.4,73
2019-01-11T14:00,11.59,12.84,250,-1.0,81
2019-01-11T15:00,14.50,15.69,242,-0.8,88
2019-01-11T16:00,14.04,15.35,243,-1.4,88
2019-01-11T17:00,16.14,17.47,263,-2.2,83
2019-01-11T18:00,16.45,17.16,275,-3.7,76
2019-01-11T19:00,15.81,17.09,250,-3.8,78
2019-01-11T20:00,13.25,14.44,248,-4.4,73
2019-01-11T21:00,14.32,16.25,240,-5.5,74
2019-01-11T22:00,15.87,17.50,229,-6.6,76
2019-01-11T23:00,14.31,15.70,232,-6.5,89
2019-01-12T00:00,15.26,16.72,229,-5.5,83
2019-01-12T01:00,16.96,18.28,224,-5.6,77
2019-01-12T02:00,16.15,17.26,150,-6.4,76
2019-01-12T03:00,18.69,20.17,57,-5.4,79
2019-01-12T04:00,17.60,19.36,68,-5.7,69
2019-01-12T05:00,16.68,17.96,61,-5.2,69
2019-01-12T06:00,15.67,16.94,131,-4.7,70
2019-01-12T07:00,15.72,17.16,216,-3.7,72
2019-01-12T08:00,15.96,17.25,213,-3.0,69
2019-01-12T09:00,14.83,15.84,220,-3.3,61
2019-01-12T10:00,13.84,15.34,221,-1.9,65
2019-01-12T11:00,15.90,17.24,204,-1.0,64
2019-01-12T12:00,13.79,14.57,205,-0.8,70
2019-01-12T13:00,10.74,11.62,216,-0.4,70
2019-01-12T14:00,11.20,11.68,207,-0.1,76
2019-01-12T15:00,10.20,10.98,221,0.0,71
2019-01-12T16:00,9.40,10.49,233,0.5,71
2019-01-12T17:00,9.33,10.24,228,0.6,75
2019-01-12T18:00,7.91,8.65,234,0.1,66
2019-01-12T19:00,9.14,10.27,222,-0.5,75
2019-01-12T20:00,9.12,9.95,237,-0.4,73
2019-01-12T21:00,10.38,11.31,243,-0.4,64
2019-01-12T22:00,10.39,11.27,242,-1.7,61
2019-01-12T23:00,9.92,10.61,248,-3.4,56
2019-01-13T00:00,9.33,9.94,245,-2.5,54
2019-01-13T01:00,9.81,10.49,246,-3.9,58
2019-01-13T02:00,8.05,8.62,243,-4.1,64
2019-01-13T03:00,7.75,8.13,232,-3.5,70
2019-01-13T04:00,6.96,7.48,238,-2.7,77
2019-01-13T05:00,6.99,7.25,236,-2.9,78
2019-01-13T06:00,6.75,7.15,239,-1.9,77
2019-01-13T07:00,6.65,7.04,238,-0.5,77
2019-01-13T08:00,6.54,7.04,236,0.9,81
2019-01-13T09:00,5.92,6.16,266,1.5,85
2019-01-13T10:00,3.69,4.01,283,2.7,88
2019-01-13T11:00,5.00,5.46,280,3.4,84
2019-01-13T12:00,4.85,5.31,282,3.6,77
2019-01-13T13:00,6.34,6.93,256,2.3,78
2019-01-13T14:00,6.93,7.56,270,4.4,88
2019-01-13T15:00,6.82,7.28,318,3.9,91
2019-01-13T16:00,6.01,6.65,318,3.3,83
2019-01-13T17:00,4.87,5.39,349,2.9,85
2019-01-13T18:00,4.88,5.19,339,1.7,85
2019-01-13T19:00,4.23,4.50,280,-0.4,94
2019-01-13T20:00,3.25,3.58,265,-1.0,93
2019-01-13T21:00,5.09,5.60,251,-1.9,84
2019-01-13T22:00,4.72,4.92,246,-3.2,76
2019-01-13T23:00,3.81,4.14,253,-3.6,87
2019-01-14T00:00,3.97,4.31,243,-4.8,96
2019-01-14T01:00,4.82,5.43,240,-4.5,97
2019-01-14T02:00,5.92,6.56,245,-4.5,97
2019-01-14T03:00,7.12,7.45,240,-4.7,90
2019-01-14T04:00,8.70,8.81,231,-4.6,83
2019-01-14T05:00,10.72,11.12,231,-2.9,84
2019-01-14T06:00,11.56,11.70,236,-2.7,75
2019-01-14T07:00,13.47,14.10,233,-1.4,74
2019-01-14T08:00,12.76,13.32,226,-1.9,71
2019-01-14T09:00,13.31,14.20,221,-0.7,81
2019-01-14T10:00,12.44,13.26,230,-0.6,79
2019-01-14T11:00,11.50,12.43,228,1.2,81
2019-01-14T12:00,10.86,12.02,225,0.1,81
2019-01-14T13:00,11.94,12.80,216,0.3,78
2019-01-14T14:00,10.92,11.74,177,0.6,80
2019-01-14T15:00,13.27,14.13,157,0.1,79
2019-01-14T16:00,14.07,14.67,89,0.9,78
2019-01-14T17:00,14.33,15.16,218,-0.8,71
2019-01-14T18:00,13.21,14.03,198,-2.8,76
2019-01-14T19:00,11.57,12.34,218,-5.1,75
2019-01-14T20:00,10.58,11.39,218,-5.8,72
2019-01-14T21:00,11.75,12.35,200,-7.4,74
2019-01-14T22:00,7.53,8.38,71,-7.4,73
2019-01-14T23:00,7.15,7.71,62,-8.1,74
2019-01-15T00:00,7.96,8.68,88,-9.3,70
2019-01-15T01:00,7.72,8.01,64,-9.7,85
2019-01-15T02:00,6.48,7.02,52,-9.6,81
2019-01-15T03:00,5.84,6.02,28,-10.5,89
2019-01-15T04:00,6.64,7.20,27,-10.0,82
2019-01-15T05:00,7.43,7.90,27,-9.6,79
2019-01-15T06:00,4.49,4.90,34,-9.5,83
2019-01-15T07:00,5.81,6.39,35,-9.5,76
2019-01-15T08:00,4.80,5.26,30,-9.9,74
2019-01-15T09:00,4.25,4.61,24,-10.4,76
2019-01-15T10:00,4.96,5.52,43,-9.0,75
2019-01-15T11:00,6.72,7.22,46,-8.2,76
2019-01-15T12:00,6.88,7.62,23,-6.8,78
2019-01-15T13:00,5.42,5.77,34,-5.5,79
2019-01-15T14:00,6.54,7.01,34,-5.1,82
2019-01-15T15:00,5.26,5.44,39,-5.1,75
2019-01-15T16:00,3.84,4.02,71,-4.5,73
2019-01-15T17:00,4.51,4.86,152,-3.6,77
2019-01-15T18:00,5.79,6.04,213,-3.0,78
2019-01-15T19:00,6.44,6.60,228,-4.1,84
2019-01-15T20:00,6.63,7.47,220,-4.4,85
2019-01-15T21:00,4.43,4.94,216,-4.3,87
2019-01-15T22:00,3.71,4.01,226,-5.0,89
2019-01-15T23:00,3.64,4.07,215,-5.2,88
2019-01-16T00:00,2.91,3.32,231,-5.8,77
2019-01-16T01:00,1.95,2.06,229,-6.8,77
2019-01-16T02:00,1.84,2.13,218,-6.8,82
2019-01-16T03:00,2.47,2.49,223,-6.7,81
2019-01-16T04:00,1.37,1.49,230,-6.3,84
2019-01-16T05:00,1.96,2.11,225,-6.9,87
2019-01-16T06:00,1.07,1.20,220,-7.0,97
2019-01-16T07:00,1.99,2.22,229,-6.7,87
2019-01-16T08:00,1.43,1.50,211,-4.8,88
2019-01-16T09:00,1.28,1.33,159,-4.4,93
2019-01-16T10:00,0.99,1.04,74,-5.6,87
2019-01-16T11:00,1.17,1.39,64,-5.6,92
2019-01-16T12:00,2.29,2.49,63,-5.5,100
2019-01-16T13:00,3.16,3.48,202,-4.9,100
2019-01-16T14:00,3.26,3.33,214,-5.0,99
2019-01-16T15:00,2.60,2.71,220,-4.5,100
2019-01-16T16:00,3.23,3.38,219,-5.3,100
2019-01-16T17:00,3.07,3.30,220,-4.8,100
2019-01-16T18:00,2.69,2.93,226,-5.5,92
2019-01-16T19:00,2.11,2.22,231,-7.0,85
2019-01-16T20:00,1.77,2.00,244,-7.1,78
2019-01-16T21:00,2.27,2.49,238,-9.2,75
2019-01-16T22:00,2.38,2.53,216,-10.0,80
2019-01-16T23:00,2.52,2.73,221,-10.2,80
2019-01-17T00:00,3.82,4.16,221,-11.2,82
2019-01-17T01:00,3.43,3.57,224,-10.4,75
2019-01-17T02:00,2.80,3.07,219,-9.9,83
2019-01-17T03:00,4.21,4.49,214,-10.1,82
2019-01-17T04:00,6.22,6.50,219,-9.7,94
2019-01-17T05:00,5.60,6.18,225,-9.7,93
2019-01-17T06:00,7.73,8.10,239,-9.3,96
2019-01-17T07:00,7.39,7.66,217,-9.5,99
2019-01-17T08:00,0.17,0.17,99,-9.7,91
2019-01-17T09:00,0.17,0.17,99,-9.7,84
2019-01-17T10:00,0.17,0.17,99,-7.9,87
2019-01-17T11:00,0.17,0.17,99,-7.5,88
2019-01-17T12:00,0.17,0.17,99,-5.7,79
2019-01-17T13:00,0.17,0.17,99,-5.6,79
2019-01-17T14:00,0.17,0.17,99,-4.2,79
2019-01-17T15:00,0.17,0.17,99,-4.3,78
2019-01-17T16:00,0.17,0.17,99,-3.2,80
2019-01-17T17:00,0.17,0.17,99,-3.7,79
2019-01-17T18:00,0.17,0.17,99,-3.7,84
2019-01-17T19:00,0.17,0.17,99,-4.5,75
2019-01-17T20:00,0.17,0.17,99,-4.0,70
2019-01-17T21:00,0.17,0.17,99,-5.1,76
2019-01-17T22:00,0.17,0.17,99,-5.4,68
2019-01-17T23:00,0.17,0.17,99,-6.4,62
2019-01-18T00:00,0.17,0.17,99,-8.2,63
2019-01-18T01:00,0.17,0.17,99,-9.8,60
2019-01-18T02:00,0.17,0.17,99,-8.8,67
2019-01-18T03:00,3.97,4.49,211,-8.4,61
2019-01-18T04:00,4.53,5.01,230,-8.5,65
2019-01-18T05:00,4.79,5.09,226,-8.7,70
2019-01-18T06:00,4.39,4.66,231,-9.2,65
2019-01-18T07:00,4.30,4.58,228,-8.3,66
2019-01-18T08:00,5.11,5.56,234,-7.0,68
2019-01-18T09:00,4.66,5.09,242,-7.0,74
2019-01-18T10:00,4.01,4.47,244,-6.0,69
2019-01-18T11:00,5.51,6.12,246,-5.5,67
2019-01-18T12:00,4.70,5.08,246,-6.0,68
2019-01-18T13:00,4.21,4.48,252,-5.4,71
2019-01-18T14:00,5.93,6.38,266,-5.2,78
2019-01-18T15:00,4.50,4.80,255,-4.9,82
2019-01-18T16:00,3.91,4.32,254,-4.1,81
2019-01-18T17:00,4.60,5.18,242,-5.0,85
2019-01-18T18:00,5.39,6.12,246,-5.0,85
2019-01-18T19:00,6.04,6.65,240,-4.6,80
2019-01-18T20:00,7.67,8.72,242,-4.1,75
2019-01-18T21:00,8.06,9.16,273,-5.6,74
2019-01-18T22:00,7.11,8.15,311,-5.9,72
2019-01-18T23:00,6.64,7.62,326,-5.5,79
2019-01-19T00:00,7.80,8.81,293,-6.5,82
2019-01-19T01:00,6.64,7.45,303,-6.6,80
2019-01-19T02:00,6.48,6.98,329,-8.3,73
2019-01-19T03:00,8.56,9.44,321,-7.9,71
2019-01-19T04:00,8.90,9.80,315,-8.5,78
2019-01-19T05:00,12.02,12.57,261,-10.0,72
2019-01-19T06:00,12.42,13.55,252,-9.1,71
2019-01-19T07:00,10.90,12.11,237,-8.3,75
2019-01-19T08:00,9.30,9.89,251,-6.4,77
2019-01-19T09:00,7.59,8.37,257,-4.9,77
2019-01-19T10:00,8.67,9.49,257,-4.0,75
2019-01-19T11:00,6.12,6.64,257,-4.2,73
2019-01-19T12:00,6.48,7.29,239,-2.6,72
2019-01-19T13:00,5.13,5.73,243,-2.3,78
2019-01-19T14:00,6.21,6.70,242,-3.1,77
2019-01-19T15:00,7.76,8.42,234,-2.2,74
2019-01-19T16:00,9.44,10.52,236,-3.4,77
2019-01-19T17:00,7.75,8.23,232,-3.0,78
2019-01-19T18:00,9.73,10.83,224,-3.3,78
2019-01-19T19:00,12.02,13.01,220,-4.4,69
2019-01-19T20:00,14.16,15.62,215,-4.8,71
2019-01-19T21:00,14.87,16.07,210,-6.0,72
2019-01-19T22:00,12.88,14.22,229,-6.5,72
2019-01-19T23:00,11.32,12.46,209,-6.8,80
2019-01-20T00:00,10.08,10.87,162,-6.3,89
2019-01-20T01:00,7.53,8.17,138,-7.4,99
2019-01-20T02:00,5.04,5.58,123,-9.2,99
2019-01-20T03:00,6.27,6.93,69,-10.9,100
2019-01-20T04:00,9.63,10.50,215,-10.2,100
2019-01-20T05:00,10.28,11.42,217,-9.2,100
2019-01-20T06:00,9.65,10.51,207,-8.6,100
2019-01-20T07:00,7.61,8.31,59,-6.6,100
2019-01-20T08:00,8.72,9.60,56,-7.0,100
2019-01-20T09:00,10.43,11.90,189,-6.4,91
2019-01-20T10:00,10.01,11.00,206,-4.5,81
2019-01-20T11:00,8.09,8.97,45,-2.8,81
2019-01-20T12:00,9.07,10.08,33,-1.4,84
2019-01-20T13:00,10.04,10.75,34,-0.8,89
2019-01-20T14:00,10.13,10.97,58,-0.9,82
2019-01-20T15:00,12.33,13.42,52,-0.4,80
2019-01-20T16:00,10.85,11.58,63,-0.1,78
2019-01-20T17:00,14.03,14.93,149,0.2,88
2019-01-20T18:00,13.00,13.46,219,-0.9,77
2019-01-20T19:00,12.12,13.47,200,-1.7,75
2019-01-20T20:00,12.47,14.28,215,-2.6,80
2019-01-20T21:00,11.70,12.74,171,-3.3,80
2019-01-20T22:00,9.70,10.53,67,-2.8,82
2019-01-20T23:00,9.66,10.42,118,-2.9,82
2019-01-21T00:00,6.51,7.25,44,-3.3,81
2019-01-21T01:00,4.92,5.15,56,-3.7,87
2019-01-21T02:00,4.66,5.04,61,-4.0,91
2019-01-21T03:00,6.50,7.07,147,-2.9,86
2019-01-21T04:00,5.43,6.15,56,-2.6,88
2019-01-21T05:00,5.39,6.08,77,-2.1,89
2019-01-21T06:00,4.74,4.96,74,-1.4,89
2019-01-21T07:00,6.27,6.84,204,-0.6,93
2019-01-21T08:00,7.53,7.98,165,-0.9,98
2019-01-21T09:00,3.64,3.83,61,-1.1,84
2019-01-21T10:00,4.45,4.72,93,-1.6,81
2019-01-21T11:00,4.54,4.69,58,-1.0,80
2019-01-21T12:00,3.23,3.38,41,-0.3,81
2019-01-21T13:00,3.34,3.55,56,0.6,75
2019-01-21T14:00,2.69,2.82,69,-0.3,74
2019-01-21T15:00,1.65,1.80,32,1.2,74
2019-01-21T16:00,1.72,1.79,23,0.7,69
2019-01-21T17:00,2.28,2.51,14,0.3,70
